Super Serum Skin Tint SPF 40 Foundation,P455418,"-Plant-based Squalane: Hydrates and visibly improves elasticity without clogging pores. <br>-Niacinamide: Visibly smooths texture, minimizes the appearance of pores, softens lines, and promotes even tone. <br>-Hyaluronic Acids (Macro and Micro): Penetrate at different levels to visibly plump and boost skin&rsquo;s moisture levels. <br><br>Zinc Oxide 12%, Aqua/Water/Eau, Squalane, Shea Butter Ethyl Esters, Isoamyl Laurate, Polyglyceryl-3 Ricinoleate, Butyloctyl Salicylate, Propanediol, Isopropyl Isostearate, Polyglyceryl-3 Diisostearate, Methylpropanediol, Niacinamide**, Sodium Chloride, Lecithin, Caprylyl Glycol, Silica, Aloe Barbadensis Leaf Juice Powder, Bisabolol, Hydrolyzed Sodium Hyaluronate**, Allantoin, Phenylpropanol, Sodium Myristoyl Glutamate, Sodium Hyaluronate, Tetrasodium Glutamate Diacetate, Aluminum Hydroxide, Polyhydroxystearic Acid. May Contain/Peut Contenir (±): CI 77491, CI 77492, CI 77499 (Iron Oxides), CI 77891 (Titanium Dioxide). <br><br>**Based on claims and efficacy research, this ingredient is present at an active level, meaning the ingredient is included at or above the percentage necessary to benefit the skin. Percentage necessary to be considered &quot;active&quot; varies based on ingredient and is confirmed by ILIA&rsquo;s formulators.<br><br><b>Clean at Sephora products are formulated without the following banned or restricted ingredients (please see Clean at Sephora landing page for full list of specific restrictions and allowances by category – this is not an exhaustive list): </b><br>
Acrylates, Aluminum Salts, Animal Musks/Fats/Oils, Benzophenones and related compounds, Butoxyethanol, Butylated hydroxyanisole (BHA), Butylated hydroxytulolene (BHT) under 0.1% , Carbon Black or Black 2, Coal Tar, Ethanolamines, Formaldehyde and Formaldehyde Releasing Agents, Hydroquinone, Lead and Lead Acetate, Mercury + Mercury Compounds (Thimerisol), Methoxyethanol, Methyl Cellosolve, Methylchloroisothiazolinone and Methylisothiazolinone, Mineral Oil, Nanomaterials (restrictions for specific nanomaterials only), Oxybenzone, Parabens, Petrolatum and Parrafin (USP grade only), Phenoxyethanol under 1%, Phthalates, Plastic Microbeads, Polyacrylamide & Acrylamide, Resorcinol, Retinyl Palmitate, Styrene, Sulfates, Talc (no detection of asbestos) , Toluene, Triclosan and Triclocarban, Undisclosed Synthetic Fragrance (under 1% and formulated without Acetaldehyde, Acetone, Acetonitrile, Benzalkonium chloride, BPA, EDTA, Methylene chloride, PTFE, PFOA), 1, 4, Dioxane (ingredients must comply with impurity thresholds), Octinoxate, PFAS compounds, Nitromusks and Polycyclic Musks, Ethoxylated Ingredients (including PEGS or polyethylene glycol must meet contamination limits for 1’4 Dioxane and ethylene oxide), Cyclic Silicones, EDTA and derivatives (allowed if no technical substitute under 0.2%)"
Vegan Hydrating Lip Balm ,P467141,"- Avocado and Cucumber Butters: Condition lips.<br>- Plant-Based Squalane: Conditions, moisturizes, softens, and soothes lips.<br><br>Hydrogenated Polyisobutene, Synthetic Fluorphlogopite, Synthetic Beeswax, Silica, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Squalane, Tocopherol, Octyldodecanol, Vanillin, Titanium Dioxide (Ci 77891), Persea Gratissima (Avocado) Oil, Hydrogenated Vegetable Oil, Helianthus Annuus (Sunflower) Seed Oil, Mentha Piperita (Peppermint) Oil, Mica, Butyrospermum Parkii (Shea) Nut Extract, Cucumis Sativus (Cucumber) Seed Oil, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Iron Oxides (Ci 77492), Iron Oxides (Ci 77499), Sorbitan Oleate, Alumina, Magnesium Oxide."
Soft Pinch Liquid Blush,P97989778,"Hydrogenated Polyisobutene, Hydrogenated Poly(C6-14 Olefin), Mica, Octyldodecanol, Hydrogenated Styrene/Isoprene Copolymer, Trimethylsiloxysilicate, Isododecane, Disteardimonium Hectorite, 1,2-Hexanediol, Sorbitan Sesquioleate, Propylene Carbonate, Triethoxycaprylylsilane, Aluminum Hydroxide, Helianthus Annuus (Sunflower) Seed Oil, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Gardenia Florida Fruit Extract, Nelumbo Nucifera Flower Extract, Nymphaea Odorata Root Extract, Titanium Dioxide (CI 77891), Red 7 Lake (CI 15850), Iron Oxides (CI 77492), Iron Oxides (CI 77491), Iron Oxides (CI 77499)."
Lip Butter Balm for Hydration & Shine,P455936,"-Shea and Murumuru Seed Butters: Natural moisturizers that soothe, relieve, and condition parched lips.<br>-Vegan Waxes: Soften and boost shine all day with a smooth, never-greasy texture.<br><br>Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Diisostearyl Malate, Hydrogenated Polyisobutene, Polybutene, Hydrogenated Poly (C6-14 Olefin), Butyrospermum Parkii (Shea) Butter, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Octyldodecanol, Synthetic Wax, Disteardimonium Hectorite, Astrocaryum Murumuru Seed Butter, Sodium Hyaluronate, Vanillin, Tocopherol, Propylene Carbonate, Polyglyceryl-2 Diisostearate, Mica, BHT, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).<br><br>Clean at Sephora products are formulated without the following banned or restricted ingredients (please see Clean at Sephora landing page for full list of specific restrictions and allowances by category – this is not an exhaustive list): </b><br>
Acrylates, Aluminum Salts, Animal Musks/Fats/Oils, Benzophenones and related compounds, Butoxyethanol, Butylated hydroxyanisole (BHA), Butylated hydroxytulolene (BHT) under 0.1% , Carbon Black or Black 2, Coal Tar, Ethanolamines, Formaldehyde and Formaldehyde Releasing Agents, Hydroquinone, Lead and Lead Acetate, Mercury + Mercury Compounds (Thimerisol), Methoxyethanol, Methyl Cellosolve, Methylchloroisothiazolinone and Methylisothiazolinone, Mineral Oil, Nanomaterials (restrictions for specific nanomaterials only), Oxybenzone, Parabens, Petrolatum and Parrafin (USP grade only), Phenoxyethanol under 1%, Phthalates, Plastic Microbeads, Polyacrylamide & Acrylamide, Resorcinol, Retinyl Palmitate, Styrene, Sulfates, Talc (no detection of asbestos) , Toluene, Triclosan and Triclocarban, Undisclosed Synthetic Fragrance (under 1% and formulated without Acetaldehyde, Acetone, Acetonitrile, Benzalkonium chloride, BPA, EDTA, Methylene chloride, PTFE, PFOA), 1, 4, Dioxane (ingredients must comply with impurity thresholds), Octinoxate, PFAS compounds, Nitromusks and Polycyclic Musks, Ethoxylated Ingredients (including PEGS or polyethylene glycol must meet contamination limits for 1’4 Dioxane and ethylene oxide), Cyclic Silicones, EDTA and derivatives (allowed if no technical substitute under 0.2%)"
Velour Makeup Face Puff,P502975,
#LIPSTORIES Lipstick,P424915,"Octyldodecanol , Caprylic/Capric Triglyceride , Isononyl Isononanoate , Pentaerythrityl Tetraisostearate , Polyethylene , CI 77891 (Titanium Dioxide) , Neopentyl Glycol Diethylhexanoate , CI 77492 (Iron Oxides) , Polymethyl Methacrylate , Silica , Cera Microcristallina (Microcrystalline Wax) , Helianthus Annuus Seed Cera (Helianthus Annuus (Sunflower) Seed Wax) , Synthetic Beeswax , Dimethicone/Vinyl Dimethicone Crosspolymer , Polymethylsilsesquioxane , Hdi/Trimethylol Hexyllactone Crosspolymer , CI 77491 (Iron Oxides) , CI 15850 (Red 7 Lake) , Nylon-12 , CI 42090 (Blue 1 Lake) , CI 15850 (Red 6) , Disteardimonium Hectorite , Parfum (Fragrance) , Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate."
Mini Soft Pinch Liquid Blush,P508264,"Hydrogenated Polyisobutene, Hydrogenated Poly(C6-14 Olefin), Mica, Octyldodecanol, Hydrogenated Styrene/Isoprene Copolymer, Trimethylsiloxysilicate, Isododecane, Disteardimonium Hectorite, Sorbitan Sesquioleate, 1,2-Hexanediol, Propylene Carbonate, Triethoxycaprylylsilane, Aluminum Hydroxide, Helianthus Annuus (Sunflower) Seed Oil, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Gardenia Florida Fruit Extract, Nelumbo Nucifera Flower Extract, Nymphaea Odorata Root Extract, [+/- May Contain/Peut Contenir: Red 28 Lake (CI 45410), Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Yellow 5 Lake (CI 19140), Red 7 Lake (CI 15850), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090)]."
Positive Light Silky Touch Highlighter,P503711,"Synthetic Fluorphlogopite, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Octyldodecyl Stearoyl Stearate, Tapioca Starch, Boron Nitride, Octyldodecanol, Diisostearyl Malate, Silica, 1,2-Hexanediol, Caprylyl Glycol, Tin Oxide, Polymethylsilsesquioxane, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491)."
Hollywood Flawless Filter,P434104,"-Finely Milled Powders: Blur lines and pores for a smoother, soft-focus look.<br>-Porcelain Flower Extract: A Thai flower derivative that brightens and moisturizes skin.<br>-Glossy Oil: A lightweight moisturizing oil that reflects and adds light where you need it.<br><br> Aqua/Water/Eau, Hydrogenated Didecene, Mica, Glycerin, Propanediol, Squalane, Cetyl Peg/Ppg-10/1 Dimethicone, Isoamyl Laurate, Hydrogenated Styrene/Isoprene Copolymer, Sodium Chloride, Caprylic/Capric Triglyceride, Hydroxyacetophenone, Polyglyceryl-4 Isostearate, 1,2-Hexanediol, Caprylyl Glycol, Trisodium Ethylenediamine Disuccinate, Hoya Lacunosa Flower Extract, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, [+/- Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Bismuth Oxychloride (Ci 77163)]."
Major Headlines Double-Take Crème & Powder Blush Duo,P458747,
